Designator,Mid X,Mid Y,Rotation,Layer
U13,82.53,-93.95,0.0,top
U14,108.29,-94.2,0.0,top
U15,368.65,-94.097182,90.0,bottom
U17,307.67,-68.97,90.0,bottom
U19,418.918707,-75.009293,0.0,bottom
U2,418.902598,-105.353795,90.0,bottom
U20,395.0,-72.6225,180.0,bottom
U21,456.015748,-97.984795,90.0,top
U22,170.6275,-238.6775,0.0,top
U27,139.525,-61.95,0.0,top
U3,338.7875,-100.622182,270.0,bottom
U32,160.45,-102.3,180.0,top
U33,218.03,-92.37,270.0,top
U4,398.45,-89.05,90.0,bottom
U5,299.765,-83.92,0.0,bottom
U6,362.375,-99.922182,90.0,bottom
U8,373.76,-100.907182,180.0,bottom
U9,82.74,-76.56,0.0,top
VQ1,142.296,-92.222,315.0,top
Y1,150.85,-110.375,180.0,top
